"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time"
"25","2006","0140","nan","December 31, 2006","CALGARY",9629,NA,NA,8063,1.19422051345653,0.00037206994915044,5.84801622512359,0.7042043904254
"26","2006","0610","L0R","March 31, 2006","HAMILTON",37,NA,NA,37,1,0,9.74193548387097,0.27027027027027
"27","2006","0610","L3M","December 31, 2006","HAMILTON",130,NA,NA,94,1.38297872340426,0,5.13513513513514,0.482758620689655
"28","2006","0610","L7L","September 30, 2006","HAMILTON",22,NA,NA,22,1,0,8.68181818181818,-0.0952380952380952
"29","2006","0610","L7N","December 31, 2006","HAMILTON",10,NA,NA,10,1,0,12.3,1.6
"30","2006","0610","L7P","June 30, 2006","HAMILTON",4,NA,NA,3,1.33333333333333,0,21.3333333333333,1.33333333333333
"31","2006","0610","L7R","March 31, 2006","HAMILTON",132,NA,NA,3,44,0,10.6666666666667,1
"32","2006","0610","L7S","September 30, 2006","HAMILTON",3,NA,NA,3,1,0,21,1
"33","2006","0610","L7T","June 30, 2006","HAMILTON",171,NA,NA,6,28.5,0,9.66666666666667,0.5
"34","2006","0610","L8E","December 31, 2006","HAMILTON",238,NA,NA,140,1.7,0,5.73118279569892,0.528571428571429
"35","2006","0610","L8G","December 31, 2006","HAMILTON",19,NA,NA,19,1,0,6.375,0.842105263157895
"36","2006","0610","L8H","June 30, 2006","HAMILTON",14,NA,NA,9,1.55555555555556,0,7.77777777777778,0
"37","2006","0610","L8J","December 31, 2006","HAMILTON",90,NA,NA,60,1.5,0,5.43478260869565,0.254237288135593
"38","2006","0610","L8K","September 30, 2006","HAMILTON",4,NA,NA,4,1,0,11,0
"39","2006","0610","L8L","December 31, 2006","HAMILTON",6,NA,NA,6,1,0,6.66666666666667,0
"40","2006","0610","L8M","June 30, 2006","HAMILTON",19,NA,NA,2,9.5,0,10,0.5
"41","2006","0610","L8P","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,6,0
"42","2006","0610","L8R","March 31, 2006","HAMILTON",9,NA,NA,8,1.125,0,4,0
"43","2006","0610","L8S","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,16,0
"44","2006","0610","L8T","December 31, 2006","HAMILTON",45,NA,NA,45,1,0,6.21875,0
"45","2006","0610","L8V","December 31, 2006","HAMILTON",5,NA,NA,4,1.25,0,9.75,0
"46","2006","0610","L8W","December 31, 2006","HAMILTON",4,NA,NA,4,1,0,7.5,0
"47","2006","0610","L9A","December 31, 2006","HAMILTON",108,NA,NA,37,2.91891891891892,0,7.65217391304348,0
"48","2006","0610","L9B","December 31, 2006","HAMILTON",70,NA,NA,42,1.66666666666667,0,13.1219512195122,1.71428571428571
"49","2006","0610","L9C","December 31, 2006","HAMILTON",70,NA,NA,60,1.16666666666667,0,7.73469387755102,0.25
"50","2006","0610","L9G","June 30, 2006","HAMILTON",88,NA,NA,74,1.18918918918919,0,11.3823529411765,0.972972972972973
"51","2006","0610","L9H","June 30, 2006","HAMILTON",17,NA,NA,17,1,0,9.82352941176471,0.117647058823529
"52","2006","0610","N1R","December 31, 2006","HAMILTON",33,NA,NA,33,1,0,8.6875,0.121212121212121
"53","2006","0610","nan","December 31, 2006","HAMILTON",1997,NA,NA,1093,1.82708142726441,0.00548947849954254,7.45686900958466,0.82600561272217
"54","2006","1265","K0A","December 31, 2006","OTTAWA",491,NA,NA,425,1.15529411764706,0,6.12533333333333,0.795294117647059
"55","2006","1265","K1C","December 31, 2006","OTTAWA",117,NA,NA,33,3.54545454545455,0,6.75757575757576,7.36363636363636
"56","2006","1265","K1E","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,5,0
"57","2006","1265","K1G","September 30, 2006","OTTAWA",1,NA,NA,1,1,0,7,0
"58","2006","1265","K1H","December 31, 2006","OTTAWA",52,NA,NA,12,4.33333333333333,0,5.58333333333333,1.33333333333333
"59","2006","1265","K1J","June 30, 2006","OTTAWA",4,NA,NA,4,1,0,8.25,2.5
"60","2006","1265","K1K","December 31, 2006","OTTAWA",69,NA,NA,11,6.27272727272727,0,7.18181818181818,0.727272727272727
"61","2006","1265","K1L","September 30, 2006","OTTAWA",6,NA,NA,3,2,0,9.33333333333333,0
"62","2006","1265","K1M","June 30, 2006","OTTAWA",1,NA,NA,1,1,0,NA,1
"63","2006","1265","K1N","September 30, 2006","OTTAWA",288,NA,NA,4,72,0,17.5,1
"64","2006","1265","K1P","September 30, 2006","OTTAWA",36,NA,NA,1,36,0,21,2
"65","2006","1265","K1R","December 31, 2006","OTTAWA",39,NA,NA,3,13,0,11.6666666666667,3
"66","2006","1265","K1S","June 30, 2006","OTTAWA",31,NA,NA,13,2.38461538461538,0,7.15384615384615,1.07692307692308
"67","2006","1265","K1T","June 30, 2006","OTTAWA",56,NA,NA,41,1.36585365853659,0,6.05,0.804878048780488
"68","2006","1265","K1V","December 31, 2006","OTTAWA",206,NA,NA,91,2.26373626373626,0,4.97727272727273,1.04395604395604
"69","2006","1265","K1W","June 30, 2006","OTTAWA",15,NA,NA,15,1,0,6.5,1.4
"70","2006","1265","K1Y","June 30, 2006","OTTAWA",38,NA,NA,14,2.71428571428571,0,5.85714285714286,1.07142857142857
"71","2006","1265","K1Z","September 30, 2006","OTTAWA",18,NA,NA,11,1.63636363636364,0,7.22222222222222,1
"72","2006","1265","K2A","June 30, 2006","OTTAWA",4,NA,NA,4,1,0,7,1
"73","2006","1265","K2B","June 30, 2006","OTTAWA",30,NA,NA,11,2.72727272727273,0,8.1,0.727272727272727
"74","2006","1265","K2C","June 30, 2006","OTTAWA",44,NA,NA,42,1.04761904761905,0,7.45238095238095,1.19047619047619
"75","2006","1265","K2E","June 30, 2006","OTTAWA",160,NA,NA,14,11.4285714285714,0.857142857142857,7.71428571428571,0.357142857142857
"76","2006","1265","K2G","June 30, 2006","OTTAWA",72,NA,NA,22,3.27272727272727,0,6.90909090909091,1.22727272727273
"77","2006","1265","K2H","December 31, 2006","OTTAWA",63,NA,NA,10,6.3,0,8.2,0.5
"78","2006","1265","K2K","June 30, 2006","OTTAWA",44,NA,NA,41,1.07317073170732,0,7.95,0.707317073170732
"79","2006","1265","K2L","September 30, 2006","OTTAWA",34,NA,NA,7,4.85714285714286,0.285714285714286,7.57142857142857,0.857142857142857
"80","2006","1265","K2M","June 30, 2006","OTTAWA",47,NA,NA,30,1.56666666666667,0,5.72413793103448,0.466666666666667
"81","2006","1265","K2P","December 31, 2006","OTTAWA",2,NA,NA,1,2,0,21,0
"82","2006","1265","K2S","June 30, 2006","OTTAWA",121,NA,NA,101,1.1980198019802,0,5.19791666666667,0.217821782178218
"83","2006","1265","K2T","June 30, 2006","OTTAWA",20,NA,NA,4,5,0,7.5,1
"84","2006","1265","K4A","June 30, 2006","OTTAWA",1,NA,NA,1,1,0,6,1
"85","2006","1265","K4K","December 31, 2006","OTTAWA",21,NA,NA,21,1,0,4.78571428571429,0.904761904761905
"86","2006","1265","K4M","June 30, 2006","OTTAWA",7,NA,NA,7,1,0,9.14285714285714,4.28571428571429
"87","2006","1265","K4P","December 31, 2006","OTTAWA",58,NA,NA,58,1,0,5.29411764705882,0.517241379310345
"88","2006","1265","K4R","December 31, 2006","OTTAWA",3,NA,NA,3,1,0,4,0
"89","2006","1265","nan","December 31, 2006","OTTAWA",3101,NA,NA,1826,1.69824753559693,0,6.05511363636364,0.630339539978094
"90","2006","1060","H1A","March 31, 2006","MONTRÉAL",145,NA,NA,15,9.66666666666667,1.6,10.1666666666667,0
"91","2006","1060","H1B","June 30, 2006","MONTRÉAL",51,NA,NA,9,5.66666666666667,2.33333333333333,9.75,0
"92","2006","1060","H1C","March 31, 2006","MONTRÉAL",61,NA,NA,31,1.96774193548387,0,5.79310344827586,0
"93","2006","1060","H1E","March 31, 2006","MONTRÉAL",171,NA,NA,28,6.10714285714286,0.321428571428571,7.04166666666667,0
"94","2006","1060","H1G","December 31, 2006","MONTRÉAL",6,NA,NA,2,3,0,4,0
"95","2006","1060","H1H","June 30, 2006","MONTRÉAL",15,NA,NA,5,3,0,6.8,0
"96","2006","1060","H1J","September 30, 2006","MONTRÉAL",6,NA,NA,6,1,0,8.2,0
"97","2006","1060","H1L","March 31, 2006","MONTRÉAL",148,NA,NA,12,12.3333333333333,1.25,6.7,0
"98","2006","1060","H1N","March 31, 2006","MONTRÉAL",121,NA,NA,18,6.72222222222222,0.222222222222222,8.53333333333333,0
"99","2006","1060","H1P","December 31, 2006","MONTRÉAL",8,NA,NA,4,2,0,5,0
"100","2006","1060","H1R","March 31, 2006","MONTRÉAL",215,NA,NA,26,8.26923076923077,0.692307692307692,6.96,0
"101","2006","1060","H1S","March 31, 2006","MONTRÉAL",29,NA,NA,1,29,6,9,0
"102","2006","1060","H1T","September 30, 2006","MONTRÉAL",55,NA,NA,8,6.875,2.625,8.14285714285714,0
"103","2006","1060","H1V","June 30, 2006","MONTRÉAL",68,NA,NA,7,9.71428571428571,1.71428571428571,8.28571428571429,0
"104","2006","1060","H1W","September 30, 2006","MONTRÉAL",350,NA,NA,31,11.2903225806452,1.96774193548387,8.58064516129032,0.709677419354839
"105","2006","1060","H1X","December 31, 2006","MONTRÉAL",196,NA,NA,11,17.8181818181818,0.818181818181818,6.33333333333333,0
"106","2006","1060","H1Z","December 31, 2006","MONTRÉAL",32,NA,NA,4,8,0.75,10,0
"107","2006","1060","H2A","September 30, 2006","MONTRÉAL",4,NA,NA,1,4,3,14,0
"108","2006","1060","H2B","December 31, 2006","MONTRÉAL",50,NA,NA,8,6.25,1.25,9,0
"109","2006","1060","H2C","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,6,0
"110","2006","1060","H2E","September 30, 2006","MONTRÉAL",18,NA,NA,1,18,3,11,0
"111","2006","1060","H2G","June 30, 2006","MONTRÉAL",10,NA,NA,2,5,3,9,0
"112","2006","1060","H2J","September 30, 2006","MONTRÉAL",72,NA,NA,6,12,3.33333333333333,13.1666666666667,0
"113","2006","1060","H2K","September 30, 2006","MONTRÉAL",97,NA,NA,13,7.46153846153846,2.30769230769231,8.76923076923077,0
"114","2006","1060","H2L","December 31, 2006","MONTRÉAL",64,NA,NA,9,7.11111111111111,1.66666666666667,5.66666666666667,0
"115","2006","1060","H2M","December 31, 2006","MONTRÉAL",80,NA,NA,1,80,0,NA,0
"116","2006","1060","H2P","March 31, 2006","MONTRÉAL",12,NA,NA,3,4,2,5,0
"117","2006","1060","H2R","December 31, 2006","MONTRÉAL",60,NA,NA,6,10,0.666666666666667,7.5,0
"118","2006","1060","H2S","September 30, 2006","MONTRÉAL",99,NA,NA,8,12.375,1.75,8.85714285714286,0
"119","2006","1060","H2T","September 30, 2006","MONTRÉAL",16,NA,NA,2,8,1.5,12.5,0
"120","2006","1060","H2V","December 31, 2006","MONTRÉAL",112,NA,NA,5,22.4,0.8,10,0
"121","2006","1060","H2W","September 30, 2006","MONTRÉAL",60,NA,NA,10,6,1.4,8.5,0
"122","2006","1060","H2X","December 31, 2006","MONTRÉAL",183,NA,NA,12,15.25,1.75,11.6363636363636,0.333333333333333
"123","2006","1060","H2Y","September 30, 2006","MONTRÉAL",88,NA,NA,3,29.3333333333333,4.33333333333333,16.6666666666667,0
"124","2006","1060","H2Z","December 31, 2006","MONTRÉAL",200,NA,NA,1,200,0,14,0
"125","2006","1060","H3B","December 31, 2006","MONTRÉAL",427,NA,NA,2,213.5,17.5,28,0
"126","2006","1060","H3E","June 30, 2006","MONTRÉAL",65,NA,NA,11,5.90909090909091,1.36363636363636,8.66666666666667,0
"127","2006","1060","H3G","December 31, 2006","MONTRÉAL",99,NA,NA,1,99,22,30,0
"128","2006","1060","H3J","September 30, 2006","MONTRÉAL",16,NA,NA,2,8,3,9,0
"129","2006","1060","H3K","September 30, 2006","MONTRÉAL",82,NA,NA,8,10.25,3,8.125,0
"130","2006","1060","H3L","June 30, 2006","MONTRÉAL",18,NA,NA,1,18,3,7,0
"131","2006","1060","H3M","June 30, 2006","MONTRÉAL",7,NA,NA,3,2.33333333333333,0.666666666666667,7,0
"132","2006","1060","H3N","September 30, 2006","MONTRÉAL",7,NA,NA,2,3.5,1.5,7.5,0
"133","2006","1060","H3P","December 31, 2006","MONTRÉAL",15,NA,NA,5,3,1.2,5.8,0
"134","2006","1060","H3S","December 31, 2006","MONTRÉAL",48,NA,NA,2,24,1.5,16,0
"135","2006","1060","H3X","December 31, 2006","MONTRÉAL",100,NA,NA,12,8.33333333333333,0.5,10.75,0
"136","2006","1060","H3Y","June 30, 2006","MONTRÉAL",126,NA,NA,2,63,6,21,0
"137","2006","1060","H4A","December 31, 2006","MONTRÉAL",7,NA,NA,3,2.33333333333333,2,7,0
"138","2006","1060","H4B","December 31, 2006","MONTRÉAL",219,NA,NA,22,9.95454545454546,2.86363636363636,7.22727272727273,0
"139","2006","1060","H4C","September 30, 2006","MONTRÉAL",177,NA,NA,15,11.8,2.93333333333333,11.5333333333333,0
"140","2006","1060","H4E","June 30, 2006","MONTRÉAL",142,NA,NA,14,10.1428571428571,2.21428571428571,7.5,0
"141","2006","1060","H4G","March 31, 2006","MONTRÉAL",97,NA,NA,12,8.08333333333333,1.5,4.36363636363636,0
"142","2006","1060","H4J","December 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,NA,0
"143","2006","1060","H4K","March 31, 2006","MONTRÉAL",72,NA,NA,13,5.53846153846154,0,12.9090909090909,0
"144","2006","1060","H4L","June 30, 2006","MONTRÉAL",187,NA,NA,3,62.3333333333333,5.33333333333333,13.6666666666667,0
"145","2006","1060","H4M","December 31, 2006","MONTRÉAL",231,NA,NA,1,231,6,17,0
"146","2006","1060","H4N","June 30, 2006","MONTRÉAL",102,NA,NA,16,6.375,0.75,8.21428571428571,0
"147","2006","1060","H4R","December 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,5,0
"148","2006","1060","H4V","December 31, 2006","MONTRÉAL",19,NA,NA,9,2.11111111111111,1.11111111111111,9.22222222222222,0
"149","2006","1060","H4W","September 30, 2006","MONTRÉAL",97,NA,NA,3,32.3333333333333,2,14,0
"150","2006","1060","H7A","December 31, 2006","MONTRÉAL",181,NA,NA,114,1.58771929824561,0.219298245614035,5.06,0
"151","2006","1060","H7B","September 30, 2006","MONTRÉAL",1,NA,NA,1,1,0,5,0
"152","2006","1060","H7C","June 30, 2006","MONTRÉAL",12,NA,NA,4,3,1.5,4,0
"153","2006","1060","H7E","December 31, 2006","MONTRÉAL",137,NA,NA,90,1.52222222222222,0.144444444444444,8.39240506329114,0
"154","2006","1060","H7G","December 31, 2006","MONTRÉAL",103,NA,NA,8,12.875,2.5,4.83333333333333,0
"155","2006","1060","H7H","December 31, 2006","MONTRÉAL",11,NA,NA,9,1.22222222222222,0,8.42857142857143,0
"156","2006","1060","H7K","December 31, 2006","MONTRÉAL",22,NA,NA,22,1,0,6.06666666666667,0
"157","2006","1060","H7L","December 31, 2006","MONTRÉAL",373,NA,NA,120,3.10833333333333,0.1,5.24468085106383,0
"158","2006","1060","H7M","December 31, 2006","MONTRÉAL",115,NA,NA,81,1.41975308641975,0.123456790123457,6.92424242424242,0
"159","2006","1060","H7N","September 30, 2006","MONTRÉAL",46,NA,NA,4,11.5,1.75,7.25,0
"160","2006","1060","H7P","December 31, 2006","MONTRÉAL",113,NA,NA,74,1.52702702702703,0.0810810810810811,5.11290322580645,0
"161","2006","1060","H7R","December 31, 2006","MONTRÉAL",82,NA,NA,35,2.34285714285714,0.4,6.8,0
"162","2006","1060","H7T","December 31, 2006","MONTRÉAL",176,NA,NA,77,2.28571428571429,0.363636363636364,5.07462686567164,0
"163","2006","1060","H7V","June 30, 2006","MONTRÉAL",443,NA,NA,7,63.2857142857143,4.28571428571429,13,0
"164","2006","1060","H7W","March 31, 2006","MONTRÉAL",4,NA,NA,3,1.33333333333333,0,9.33333333333333,0
"165","2006","1060","H7X","December 31, 2006","MONTRÉAL",84,NA,NA,62,1.35483870967742,0.0806451612903226,8.53448275862069,0
"166","2006","1060","H8P","September 30, 2006","MONTRÉAL",33,NA,NA,9,3.66666666666667,1.33333333333333,10.75,0
"167","2006","1060","H8R","June 30, 2006","MONTRÉAL",141,NA,NA,3,47,1,12.3333333333333,0
"168","2006","1060","H8S","June 30, 2006","MONTRÉAL",77,NA,NA,15,5.13333333333333,0.933333333333333,6.2,0
"169","2006","1060","H8T","March 31, 2006","MONTRÉAL",36,NA,NA,7,5.14285714285714,1.57142857142857,7.85714285714286,0
"170","2006","1060","H8Y","March 31, 2006","MONTRÉAL",10,NA,NA,10,1,0,4.55555555555556,0
"171","2006","1060","H8Z","June 30, 2006","MONTRÉAL",11,NA,NA,8,1.375,0,11,0
"172","2006","1060","H9A","June 30, 2006","MONTRÉAL",112,NA,NA,17,6.58823529411765,0,13.5625,0.176470588235294
"173","2006","1060","H9B","March 31, 2006","MONTRÉAL",156,NA,NA,11,14.1818181818182,0.727272727272727,9.36363636363636,0
"174","2006","1060","H9C","June 30, 2006","MONTRÉAL",75,NA,NA,70,1.07142857142857,0,5.83870967741935,0
"175","2006","1060","H9E","June 30, 2006","MONTRÉAL",6,NA,NA,6,1,0,11.3333333333333,0
"176","2006","1060","H9G","June 30, 2006","MONTRÉAL",192,NA,NA,3,64,2,8,0
"177","2006","1060","H9H","June 30, 2006","MONTRÉAL",76,NA,NA,14,5.42857142857143,1.57142857142857,13.9285714285714,0.428571428571429
"178","2006","1060","H9J","June 30, 2006","MONTRÉAL",51,NA,NA,21,2.42857142857143,0.333333333333333,7.27777777777778,0
"179","2006","1060","H9K","December 31, 2006","MONTRÉAL",122,NA,NA,49,2.48979591836735,0.224489795918367,6.58064516129032,0
"180","2006","1060","H9R","June 30, 2006","MONTRÉAL",194,NA,NA,10,19.4,2,13.4,0
"181","2006","1060","H9S","June 30, 2006","MONTRÉAL",92,NA,NA,10,9.2,0.3,8.75,0
"182","2006","1060","H9W","December 31, 2006","MONTRÉAL",36,NA,NA,29,1.24137931034483,0.0689655172413793,6,0
"183","2006","1060","H9X","December 31, 2006","MONTRÉAL",16,NA,NA,16,1,0,5.36363636363636,0
"184","2006","1060","J0L","December 31, 2006","MONTRÉAL",322,NA,NA,242,1.33057851239669,0.0578512396694215,4.24166666666667,0
"185","2006","1060","J0N","December 31, 2006","MONTRÉAL",454,NA,NA,314,1.44585987261146,0.181528662420382,4.99528301886792,0
"186","2006","1060","J0P","December 31, 2006","MONTRÉAL",23,NA,NA,23,1,0,5.71428571428571,0
"187","2006","1060","J3E","December 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,4,0
"188","2006","1060","J3G","December 31, 2006","MONTRÉAL",266,NA,NA,144,1.84722222222222,0.104166666666667,4.73684210526316,0
"189","2006","1060","J3H","December 31, 2006","MONTRÉAL",185,NA,NA,138,1.34057971014493,0.0869565217391304,5,0
"190","2006","1060","J3L","December 31, 2006","MONTRÉAL",434,NA,NA,351,1.23646723646724,0.0883190883190883,5.06944444444444,0
"191","2006","1060","J3N","December 31, 2006","MONTRÉAL",84,NA,NA,74,1.13513513513514,0.0675675675675676,5.17948717948718,0
"192","2006","1060","J3V","December 31, 2006","MONTRÉAL",22,NA,NA,12,1.83333333333333,0.5,7.54545454545455,0
"193","2006","1060","J3X","June 30, 2006","MONTRÉAL",52,NA,NA,18,2.88888888888889,0.777777777777778,5.14285714285714,0
"194","2006","1060","J3Y","December 31, 2006","MONTRÉAL",223,NA,NA,109,2.04587155963303,0.36697247706422,4.53086419753086,0
"195","2006","1060","J4B","December 31, 2006","MONTRÉAL",4,NA,NA,3,1.33333333333333,0,11,0
"196","2006","1060","J4H","September 30, 2006","MONTRÉAL",38,NA,NA,5,7.6,2.8,11,0
"197","2006","1060","J4J","June 30, 2006","MONTRÉAL",34,NA,NA,5,6.8,1,4.75,0
"198","2006","1060","J4K","September 30, 2006","MONTRÉAL",41,NA,NA,13,3.15384615384615,0.846153846153846,7.22222222222222,0
"199","2006","1060","J4L","September 30, 2006","MONTRÉAL",1,NA,NA,1,1,0,NA,0
"200","2006","1060","J4M","December 31, 2006","MONTRÉAL",55,NA,NA,23,2.39130434782609,1.04347826086957,5,0
"201","2006","1060","J4N","March 31, 2006","MONTRÉAL",545,NA,NA,72,7.56944444444444,0.416666666666667,6.14583333333333,0
"202","2006","1060","J4P","December 31, 2006","MONTRÉAL",4,NA,NA,3,1.33333333333333,0,4,0
"203","2006","1060","J4R","March 31, 2006","MONTRÉAL",20,NA,NA,2,10,0,3,0
"204","2006","1060","J4T","March 31, 2006","MONTRÉAL",34,NA,NA,12,2.83333333333333,1.5,5.16666666666667,0
"205","2006","1060","J4V","June 30, 2006","MONTRÉAL",25,NA,NA,7,3.57142857142857,1.42857142857143,5,0
"206","2006","1060","J4W","December 31, 2006","MONTRÉAL",39,NA,NA,9,4.33333333333333,1.66666666666667,9.125,0
"207","2006","1060","J4X","June 30, 2006","MONTRÉAL",36,NA,NA,8,4.5,0.5,8.875,0.375
"208","2006","1060","J4Y","December 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,5.66666666666667,0
"209","2006","1060","J4Z","June 30, 2006","MONTRÉAL",46,NA,NA,9,5.11111111111111,0.888888888888889,6.875,0
"210","2006","1060","J5A","December 31, 2006","MONTRÉAL",26,NA,NA,2,13,0,6,0
"211","2006","1060","J5B","December 31, 2006","MONTRÉAL",87,NA,NA,76,1.14473684210526,0,4.8936170212766,0
"212","2006","1060","J5C","June 30, 2006","MONTRÉAL",10,NA,NA,3,3.33333333333333,0.666666666666667,3.66666666666667,0
"213","2006","1060","J5L","December 31, 2006","MONTRÉAL",272,NA,NA,195,1.39487179487179,0.174358974358974,4.936,0
"214","2006","1060","J5R","December 31, 2006","MONTRÉAL",320,NA,NA,225,1.42222222222222,0.137777777777778,4.575,0
"215","2006","1060","J5T","December 31, 2006","MONTRÉAL",140,NA,NA,106,1.32075471698113,0.226415094339623,4.703125,0.0566037735849057
"216","2006","1060","J5W","December 31, 2006","MONTRÉAL",364,NA,NA,246,1.47967479674797,0.313008130081301,4.3525641025641,0
"217","2006","1060","J5Y","December 31, 2006","MONTRÉAL",290,NA,NA,249,1.16465863453815,0.072289156626506,4.8343949044586,0
"218","2006","1060","J5Z","December 31, 2006","MONTRÉAL",554,NA,NA,265,2.09056603773585,0.373584905660377,4.47252747252747,0
"219","2006","1060","J6A","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,9,0
"220","2006","1060","J6J","December 31, 2006","MONTRÉAL",71,NA,NA,65,1.09230769230769,0,4.30769230769231,0
"221","2006","1060","J6K","March 31, 2006","MONTRÉAL",91,NA,NA,26,3.5,1.34615384615385,6.54545454545455,0
"222","2006","1060","J6N","March 31, 2006","MONTRÉAL",9,NA,NA,7,1.28571428571429,0.285714285714286,4,0
"223","2006","1060","J6R","December 31, 2006","MONTRÉAL",103,NA,NA,81,1.27160493827161,0.0617283950617284,4.26190476190476,0
"224","2006","1060","J6W","March 31, 2006","MONTRÉAL",30,NA,NA,9,3.33333333333333,0.888888888888889,6.85714285714286,0
"225","2006","1060","J6X","December 31, 2006","MONTRÉAL",65,NA,NA,59,1.10169491525424,0.101694915254237,5.58333333333333,0
"226","2006","1060","J6Y","December 31, 2006","MONTRÉAL",221,NA,NA,148,1.49324324324324,0.128378378378378,4.50925925925926,0
"227","2006","1060","J6Z","June 30, 2006","MONTRÉAL",6,NA,NA,6,1,0,8.83333333333333,0
"228","2006","1060","J7A","December 31, 2006","MONTRÉAL",21,NA,NA,21,1,0,6.125,0
"229","2006","1060","J7C","December 31, 2006","MONTRÉAL",146,NA,NA,99,1.47474747474747,0.232323232323232,4.68181818181818,0
"230","2006","1060","J7E","December 31, 2006","MONTRÉAL",400,NA,NA,20,20,1.8,7.63157894736842,0
"231","2006","1060","J7G","June 30, 2006","MONTRÉAL",1,NA,NA,1,1,0,7,0
"232","2006","1060","J7J","December 31, 2006","MONTRÉAL",151,NA,NA,106,1.42452830188679,0.311320754716981,4.64473684210526,0
"233","2006","1060","J7K","December 31, 2006","MONTRÉAL",159,NA,NA,149,1.06711409395973,0.0402684563758389,4.88135593220339,0
"234","2006","1060","J7L","March 31, 2006","MONTRÉAL",35,NA,NA,35,1,0,6.16129032258065,0
"235","2006","1060","J7M","December 31, 2006","MONTRÉAL",373,NA,NA,264,1.41287878787879,0.196969696969697,4.94943820224719,0
"236","2006","1060","J7P","June 30, 2006","MONTRÉAL",1,NA,NA,1,1,0,5,0
"237","2006","1060","J7R","March 31, 2006","MONTRÉAL",118,NA,NA,23,5.1304347826087,0.260869565217391,6.36363636363636,0
"238","2006","1060","J7T","March 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,7.66666666666667,0
"239","2006","1060","J7V","December 31, 2006","MONTRÉAL",482,NA,NA,327,1.47400611620795,0.192660550458716,5.32510288065844,0
