"","ref_yy","metcode","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"1","1988","0140","December 31, 1988","CALGARY",118,400,0.295,0.07,4,"724449.865",1.62882216839118
"2","1988","0340","December 31, 1988","EDMONTON",189,466,0.405579399141631,0,4,"821466.779",2.30076254854854
"3","1988","0580","December 31, 1988",NA,515,405,1.27160493827161,0,4,"326937.956",15.7522242538275
"4","1988","0610","December 31, 1988","HAMILTON",290,559,0.518783542039356,0.00536672629695885,4,"607581.042",4.77302581801096
"5","1988","1060","December 31, 1988",NA,4278,3063,1.39666993143977,0.240940254652302,4,"3351700.63",12.7636697672489
"6","1988","1265","December 31, 1988",NA,444,575,0.772173913043478,0.0869565217391304,4,"694702.2267506439",6.3912275346624
"7","1988","1400","December 31, 1988",NA,1080,653,1.65390505359877,0,4,"646773.4430000001",16.6982737415828
"8","1988","1490","December 31, 1988","REGINA",121,129,0.937984496124031,0.162790697674419,4,"195585.119",6.18656473553082
"9","1988","1700","December 31, 1988","SASKATOON",230,213,1.07981220657277,0.0985915492957746,4,"216113.54",10.6425539093941
"10","1988","2270","December 31, 1988","TORONTO",1100,2229,0.493494840735756,0.012561686855092,4,"3917164.25",2.80815388325879
"11","1988","2410","December 31, 1988","VANCOUVER",1402,1729,0.810873337189127,0.157316367842684,4,"1562206",8.97448863978246
"12","1988","2440","December 31, 1988","VICTORIA",187,249,0.751004016064257,0.124497991967871,4,"283268.49199999997",6.60151076738884
"13","1988","2680","December 31, 1988","WINNIPEG",248,382,0.649214659685864,0.170157068062827,4,"665928.947",3.72412103599395
"14","1989","0140","December 31, 1989","CALGARY",363,640,0.5671875,0,4,"747414.603",4.85674214208523
"15","1989","0340","December 31, 1989","EDMONTON",168,591,0.284263959390863,0.00676818950930626,4,"839681.228",2.00075926908777
"16","1989","0580","December 31, 1989",NA,243,279,0.870967741935484,0.0752688172043011,4,"332122.421",7.31657920800234
"17","1989","0610","December 31, 1989",NA,348,441,0.789115646258503,0,4,"615293.795",5.65583470576036
"18","1989","1060","December 31, 1989",NA,3743,2730,1.37106227106227,0.24981684981685,4,"3384308.91",11.0598650996076
"19","1989","1265","December 31, 1989",NA,589,616,0.956168831168831,0.0909090909090909,4,"712715.6858770581",8.26416496327262
"20","1989","1400","December 31, 1989",NA,844,616,1.37012987012987,0,4,"657101.771",12.844281316052
"21","1989","1490","December 31, 1989","REGINA",177,95,1.86315789473684,0.252631578947368,4,"195307.253",9.06264346465413
"22","1989","1700","December 31, 1989","SASKATOON",105,110,0.954545454545455,0.127272727272727,4,"215816.647",4.86524100247003
"23","1989","2270","December 31, 1989","TORONTO",1601,1996,0.802104208416834,0.0961923847695391,4,"3983955.1799999997",4.01861950665821
"24","1989","2410","December 31, 1989","VANCOUVER",1539,1824,0.84375,0.0893640350877193,4,"1602542.22",9.60349113298244
"25","1989","2440","December 31, 1989","VICTORIA",240,275,0.872727272727273,0.283636363636364,4,"289992.005",8.27609023221175
"26","1989","2680","December 31, 1989","WINNIPEG",317,374,0.8475935828877,0.141711229946524,4,"670512.153",4.72772937196859
"27","1990","0140","December 31, 1990","CALGARY",575,946,0.607822410147992,0,4,"764404.198",7.52219835401794
"28","1990","0340","December 31, 1990",NA,492,786,0.625954198473282,0.039440203562341,4,"855178.476",5.75318502286533
