"ref_yy","CSDuid","dweltype","mkttycd","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","inventory_per_10kpop"
"1988","1209001",1,1,"December 31, 1988","0580",NA,NA,8,19,0.421052631578947,0,361,4,"Halifax",326937.956,205,0.244694745690525
"1988","1209001",2,1,"December 31, 1988","0580",NA,NA,7,5,1.4,0,361,4,"Halifax",326937.956,205,0.214107902479209
"1988","1209001",4,1,"December 31, 1988","0580",NA,NA,4,1,4,0,361,4,"Halifax",326937.956,205,0.122347372845262
"1988","1209008",1,1,"December 31, 1988","0580","HALIFAX","EAST HANTS MD",8,27,0.296296296296296,0,361,4,"Halifax",326937.956,205,0.244694745690525
"1988","1209008",2,1,"December 31, 1988","0580","HALIFAX","EAST HANTS MD",34,29,1.17241379310345,0,361,4,"Halifax",326937.956,205,1.03995266918473
"1988","1209012",1,1,"December 31, 1988","0580",NA,NA,18,42,0.428571428571429,0,361,4,"Halifax",326937.956,205,0.550563177803681
"1988","1209012",2,1,"December 31, 1988","0580",NA,NA,27,18,1.5,0,361,4,"Halifax",326937.956,205,0.825844766705521
"1988","1209018",1,1,"December 31, 1988","0580",NA,NA,14,26,0.538461538461538,0,361,4,"Halifax",326937.956,205,0.428215804958418
"1988","1209018",2,1,"December 31, 1988","0580",NA,NA,31,21,1.47619047619048,0,361,4,"Halifax",326937.956,205,0.948192139550784
"1988","1209021",1,1,"December 31, 1988","0580",NA,NA,21,30,0.7,0,361,4,"Halifax",326937.956,205,0.642323707437628
"1988","1209021",2,1,"December 31, 1988","0580",NA,NA,25,18,1.38888888888889,0,361,4,"Halifax",326937.956,205,0.76467108028289
"1988","1209021",4,1,"December 31, 1988","0580",NA,NA,17,5,3.4,0,361,4,"Halifax",326937.956,205,0.519976334592365
"1988","1209021",4,3,"December 31, 1988","0580",NA,NA,8,3,2.66666666666667,0,361,4,"Halifax",326937.956,205,0.244694745690525
"1988","1209021",5,3,"December 31, 1988","0580",NA,NA,126,4,31.5,0,361,4,"Halifax",326937.956,205,3.85394224462577
"1988","1209022",1,1,"December 31, 1988","0580",NA,NA,17,25,0.68,0,361,4,"Halifax",326937.956,205,0.519976334592365
"1988","1209022",2,1,"December 31, 1988","0580",NA,NA,22,15,1.46666666666667,0,361,4,"Halifax",326937.956,205,0.672910550648943
"1988","1209022",5,3,"December 31, 1988","0580",NA,NA,38,1,38,0,361,4,"Halifax",326937.956,205,1.16230004202999
"1988","1209024",1,1,"December 31, 1988","0580",NA,NA,14,44,0.318181818181818,0,361,4,"Halifax",326937.956,205,0.428215804958418
"1988","1209024",2,1,"December 31, 1988","0580",NA,NA,33,25,1.32,0,361,4,"Halifax",326937.956,205,1.00936582597342
"1988","1209024",5,3,"December 31, 1988","0580",NA,NA,14,1,14,0,361,4,"Halifax",326937.956,205,0.428215804958418
"1988","1209026",1,1,"December 31, 1988","0580",NA,NA,27,44,0.613636363636364,0,361,4,"Halifax",326937.956,205,0.825844766705521
"1988","1209026",2,1,"December 31, 1988","0580",NA,NA,2,2,1,0,361,4,"Halifax",326937.956,205,0.0611736864226312
"1988","2416500",2,1,"December 31, 1988","1400",NA,NA,0,1,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2416600",1,1,"December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
