"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","ref_qq","population","starts_per_10kpop"
"1","1988","1209001","June 30, 1988","0580",NA,NA,95,NA,NA,88,1.07954545454545,0,0.0340909090909091,4,"326937.956",2.90575010507498
"2","1988","1209008","June 30, 1988","0580","HALIFAX","EAST HANTS MD",164,NA,NA,110,1.49090909090909,0,0.0818181818181818,4,"326937.956",5.01624228665576
"3","1988","1209012","June 30, 1988","0580",NA,NA,297,NA,NA,271,1.09594095940959,0,0.14760147601476,4,"326937.956",9.08429243376073
"4","1988","1209018","June 30, 1988","0580",NA,NA,166,NA,NA,135,1.22962962962963,0,0.0740740740740741,4,"326937.956",5.07741597307839
"5","1988","1209021","June 30, 1988","0580",NA,NA,343,NA,NA,94,3.64893617021277,0,0.404255319148936,4,"326937.956",10.4912872214813
"6","1988","1209022","June 30, 1988","0580",NA,NA,211,NA,NA,93,2.26881720430108,0,0.225806451612903,4,"326937.956",6.45382391758759
"7","1988","1209024","June 30, 1988","0580",NA,NA,260,NA,NA,133,1.95488721804511,0,0.12781954887218,4,"326937.956",7.95257923494206
"8","1988","1209026","June 30, 1988","0580",NA,NA,156,NA,NA,152,1.02631578947368,0,0.0657894736842105,4,"326937.956",4.77154754096523
"9","1988","2415780","September 30, 1988","1400",NA,NA,10,NA,NA,10,1,0,0.555555555555556,4,"646773.4430000001",0.154613645755396
"10","1988","2416200","June 30, 1988","1400",NA,NA,1,NA,NA,1,1,0,0,4,"646773.4430000001",0.0154613645755396
"11","1988","2416300","December 31, 1988","1400",NA,NA,3,NA,NA,3,1,0,1,4,"646773.4430000001",0.0463840937266189
"12","1988","2416400","September 30, 1988","1400",NA,NA,1,NA,NA,1,1,0,0,4,"646773.4430000001",0.0154613645755396
"13","1988","2416500","September 30, 1988","1400",NA,NA,13,NA,NA,10,1.3,0,0.4,4,"646773.4430000001",0.200997739482015
"14","1988","2416600","December 31, 1988","1400",NA,NA,7,NA,NA,7,1,0,0.857142857142857,4,"646773.4430000001",0.108229552028777
"15","1988","2416700","September 30, 1988","1400",NA,NA,5,NA,NA,5,1,0,0,4,"646773.4430000001",0.0773068228776981
"16","1988","2417320","December 31, 1988","1400",NA,NA,6,NA,NA,5,1.2,0,0.2,4,"646773.4430000001",0.0927681874532378
"17","1988","2417360","September 30, 1988","1400",NA,NA,12,NA,NA,12,1,0,0.166666666666667,4,"646773.4430000001",0.185536374906476
"18","1988","2417400","September 30, 1988","1400",NA,NA,22,NA,NA,22,1,0,0.0454545454545455,4,"646773.4430000001",0.340150020661872
"19","1988","2417460","September 30, 1988","1400",NA,NA,23,NA,NA,23,1,0,0.2,4,"646773.4430000001",0.355611385237411
"20","1988","2420110","December 31, 1988","1400",NA,NA,339,NA,NA,260,1.30384615384615,0,0.123076923076923,4,"646773.4430000001",5.24140259110793
