"ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1988","0340",4,3,"December 31, 1988","EDMONTON",49,NA,NA,12,4.08333333333333,0,3.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.59649399406814
"1988","1265",4,4,"September 30, 1988",NA,33,NA,NA,5,6.6,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.483109860529283
"1988","2410",2,4,"December 31, 1988","VANCOUVER",8,NA,NA,4,2,0,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.0512096356050354
"1988","1400",5,1,"September 30, 1988",NA,13,NA,NA,6,2.16666666666667,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.200997739482015
"1988","1490",5,3,"June 30, 1988","REGINA",152,NA,NA,3,50.6666666666667,2,6.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,7.77155239504699
"1988","2410",4,4,"December 31, 1988","VANCOUVER",268,NA,NA,34,7.88235294117647,0.176470588235294,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,1.71552279276869
"1988","0580",1,1,"September 30, 1988",NA,788,NA,NA,788,1,0,5.19889502762431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,24.1024324505167
"1988","1265",2,1,"December 31, 1988",NA,60,NA,NA,32,1.875,0,5.75862068965517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.878381564598695
"1988","2680",1,1,"June 30, 1988","WINNIPEG",2054,NA,NA,2054,1,0,5.85182926829268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,30.844131483595
"1988","1060",4,1,"September 30, 1988",NA,557,NA,NA,128,4.3515625,0.046875,6.39772727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,1.66184293135989
"1988","2410",2,1,"December 31, 1988","VANCOUVER",166,NA,NA,83,2,0,5.86842105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,1.06259993880449
"1988","0140",5,2,"December 31, 1988","CALGARY",72,NA,NA,3,24,13.3333333333333,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,0.993857594272586
"1988","2410",4,3,"September 30, 1988","VANCOUVER",897,NA,NA,193,4.64766839378238,0.191709844559585,6.62365591397849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,5.7418803922146
"1988","1060",2,1,"June 30, 1988",NA,712,NA,NA,373,1.9088471849866,0,7.31147540983607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,2.12429473452108
"1988","1700",1,1,"September 30, 1988","SASKATOON",530,NA,NA,530,1,0,4.75460122699386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,24.5241459651256
"1988","1490",1,3,"September 30, 1988","REGINA",17,NA,NA,17,1,0,4.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,0.869186781024992
"1988","1400",4,2,"September 30, 1988",NA,6,NA,NA,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.0927681874532378
"1988","2270",4,2,"September 30, 1988","TORONTO",26,NA,NA,3,8.66666666666667,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.0663745463315714
"1988","2270",4,1,"September 30, 1988","TORONTO",1067,NA,NA,173,6.16763005780347,0.0115606936416185,6.31176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,2.72390926676103
"1988","0610",2,1,"December 31, 1988",NA,14,NA,NA,7,2,0,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,0.230421936041908
"1988","0580",5,1,"December 31, 1988",NA,56,NA,NA,1,56,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,1.71286321983367
"1988","0340",2,1,"December 31, 1988","EDMONTON",58,NA,NA,29,2,0,4.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.706054115427594
"1988","0140",5,4,"June 30, 1988","CALGARY",104,NA,NA,1,104,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,1.43557208061596
"1988","1490",2,2,"December 31, 1988","REGINA",4,NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,0.204514536711763
"1988","1400",1,2,"September 30, 1988",NA,1,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.0154613645755396
"1988","0340",4,1,"December 31, 1988",NA,42,NA,NA,11,3.81818181818182,0,4.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.51128056634412
"1988","2410",4,2,"September 30, 1988","VANCOUVER",84,NA,NA,15,5.6,0,6.06666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.537701173852872
"1988","2440",1,1,"September 30, 1988","VICTORIA",945,NA,NA,945,1,0,4.64788732394366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,33.3605758031147
"1988","1700",4,2,"June 30, 1988","SASKATOON",20,NA,NA,5,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,0.925439470382096
"1988","2270",2,2,"September 30, 1988","TORONTO",2,NA,NA,1,2,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.0051057343331978
"1988","2680",5,3,"December 31, 1988","WINNIPEG",137,NA,NA,6,22.8333333333333,5.66666666666667,9.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,2.05727654004504
"1988","1490",1,1,"September 30, 1988","REGINA",474,NA,NA,474,1,0,5.60144927536232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,24.2349726003439
"1988","1400",4,3,"September 30, 1988",NA,53,NA,NA,10,5.3,0,5.44444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.8194523225036
"1988","2410",5,3,"December 31, 1988","VANCOUVER",2039,NA,NA,83,24.566265060241,4.07228915662651,8.43589743589744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,13.0520558748334
"1988","0580",2,1,"December 31, 1988",NA,323,NA,NA,162,1.99382716049383,0,4.54411764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,9.87955035725494
"1988","2440",4,4,"September 30, 1988",NA,56,NA,NA,7,8,2.57142857142857,4.28571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,1.97692301055495
"1988","0580",4,2,"December 31, 1988",NA,12,NA,NA,1,12,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.367042118535787
"1988","0610",5,2,"September 30, 1988",NA,65,NA,NA,1,65,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,1.06981613162315
"1988","0580",2,4,"December 31, 1988",NA,26,NA,NA,13,2,0,16.2307692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.795257923494206
"1988","2270",5,4,"December 31, 1988","TORONTO",24,NA,NA,1,24,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.0612688119983736
"1988","2680",2,1,"December 31, 1988","WINNIPEG",42,NA,NA,21,2,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.630697917386072
"1988","1490",4,3,"September 30, 1988","REGINA",30,NA,NA,1,30,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,1.53385902533822
"1988","0140",1,1,"June 30, 1988","CALGARY",2018,NA,NA,2018,1,0,5.68240620957309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,27.8556197950289
"1988","1265",2,2,"June 30, 1988",NA,14,NA,NA,7,2,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.204955698406362
"1988","2440",4,2,"September 30, 1988","VICTORIA",10,NA,NA,1,10,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,0.353021966170526
"1988","2680",5,2,"December 31, 1988","WINNIPEG",413,NA,NA,5,82.6,3.6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,6.20186285429638
"1988","0580",4,3,"December 31, 1988",NA,9,NA,NA,2,4.5,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.27528158890184
"1988","2270",5,2,"December 31, 1988","TORONTO",1998,NA,NA,38,52.5789473684211,1.5,11.6052631578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,5.1006285988646
"1988","1265",4,3,"June 30, 1988",NA,159,NA,NA,27,5.88888888888889,0,6.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,2.32771114618654
"1988","1400",1,1,"September 30, 1988",NA,2425,NA,NA,2425,1,0,5.44428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,37.4938090956836
"1988","1265",5,2,"June 30, 1988",NA,395,NA,NA,20,19.75,0.2,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,5.78267863360808
"1988","2410",1,1,"September 30, 1988","VANCOUVER",5073,NA,NA,5073,1,0,4.77544338335607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,32.4733101780431
"1988","1265",4,2,"September 30, 1988",NA,443,NA,NA,65,6.81538461538462,0.4,7.62903225806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,6.48538388528703
"1988","1400",4,1,"September 30, 1988",NA,194,NA,NA,43,4.51162790697674,0,6.57692307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,2.99950472765469
"1988","2440",4,3,"June 30, 1988","VICTORIA",106,NA,NA,12,8.83333333333333,2,5.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,3.74203284140758
"1988","2440",2,4,"September 30, 1988",NA,2,NA,NA,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,0.0706043932341053
"1988","1265",1,2,"September 30, 1988",NA,6,NA,NA,6,1,0,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.0878381564598695
"1988","2440",2,2,"September 30, 1988",NA,2,NA,NA,2,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,0.0706043932341053
"1988","1700",2,3,"December 31, 1988","SASKATOON",6,NA,NA,3,2,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,0.277631841114629
"1988","1060",1,1,"September 30, 1988",NA,8256,NA,NA,8256,1,0,5.7940889899318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,24.6322715283793
"1988","1700",5,4,"June 30, 1988","SASKATOON",50,NA,NA,1,50,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,2.31359867595524
"1988","2410",5,2,"September 30, 1988","VANCOUVER",1164,NA,NA,30,38.8,5.23333333333333,7.10714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,7.45100198053266
"1988","2680",4,2,"December 31, 1988","WINNIPEG",16,NA,NA,3,5.33333333333333,1.33333333333333,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.240265873289932
"1988","1400",2,3,"September 30, 1988",NA,2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.0309227291510793
"1988","1700",5,2,"December 31, 1988","SASKATOON",81,NA,NA,7,11.5714285714286,1.42857142857143,10.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,3.74802985504749
"1988","0340",2,3,"December 31, 1988","EDMONTON",20,NA,NA,10,2,0,3.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.243466936354343
"1988","2440",5,3,"December 31, 1988",NA,49,NA,NA,3,16.3333333333333,2.33333333333333,8.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,1.72980763423558
"1988","1265",5,3,"December 31, 1988",NA,892,NA,NA,14,63.7142857142857,1.85714285714286,9.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,13.0586059270339
"1988","2410",5,4,"September 30, 1988","VANCOUVER",251,NA,NA,8,31.375,3,6.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,1.60670231710799
"1988","2270",5,3,"June 30, 1988","TORONTO",3404,NA,NA,22,154.727272727273,4.77272727272727,15.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,8.68995983510265
"1988","0610",4,3,"September 30, 1988","HAMILTON",199,NA,NA,34,5.85294117647059,0.794117647058823,7.54545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,3.27528323373855
"1988","0610",5,3,"September 30, 1988","HAMILTON",423,NA,NA,6,70.5,0,11.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,6.96203421040909
"1988","1700",2,1,"September 30, 1988","SASKATOON",38,NA,NA,19,2,0,5.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,1.75833499372598
"1988","0580",5,4,"December 31, 1988",NA,12,NA,NA,1,12,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.367042118535787
"1988","0580",5,2,"December 31, 1988",NA,394,NA,NA,14,28.1428571428571,0,7.07692307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,12.0512162252583
"1988","0340",1,3,"September 30, 1988","EDMONTON",29,NA,NA,29,1,0,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.353027057713797
"1988","0580",4,1,"December 31, 1988",NA,16,NA,NA,3,5.33333333333333,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.48938949138105
"1988","1400",2,1,"December 31, 1988",NA,226,NA,NA,115,1.96521739130435,0,6.15686274509804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,3.49426839407196
"1988","2440",2,1,"December 31, 1988",NA,13,NA,NA,7,1.85714285714286,0,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,0.458928556021684
"1988","0140",2,1,"September 30, 1988","CALGARY",184,NA,NA,92,2,0,6.48235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,2.53985829647439
"1988","2270",4,4,"December 31, 1988","TORONTO",370,NA,NA,31,11.9354838709677,0.0645161290322581,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.944560851641592
"1988","1060",5,4,"September 30, 1988",NA,156,NA,NA,9,17.3333333333333,0.666666666666667,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.465435363181586
"1988","1265",1,1,"December 31, 1988",NA,2862,NA,NA,2862,1,0,4.8140127388535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,41.8988006313578
"1988","0610",1,1,"September 30, 1988",NA,2480,NA,NA,2480,1,0,5.17719680464779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,40.8176000988523
"1988","2270",2,1,"September 30, 1988","TORONTO",374,NA,NA,190,1.96842105263158,0,8.06382978723404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.954772320307988
"1988","1060",5,1,"September 30, 1988",NA,50,NA,NA,20,2.5,0.8,6.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.149178001019739
"1988","1060",5,3,"September 30, 1988",NA,4459,NA,NA,324,13.7623456790123,1.80555555555556,7.5993031358885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,13.3036941309403
"1988","0340",5,2,"September 30, 1988","EDMONTON",26,NA,NA,1,26,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.316507017260646
"1989","1265",5,4,"September 30, 1989",NA,222,NA,NA,3,74,6,8.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",700786.3989,3.1678697010739
"1989","0580",1,1,"March 31, 1989",NA,1119,NA,NA,1119,1,0,5.37209302325581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",332122.421,33.6923956121589
"1989","1265",2,2,"June 30, 1989",NA,22,NA,NA,11,2,0,5.22222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",700786.3989,0.313933033439756
"1989","2680",5,3,"March 31, 1989","WINNIPEG",347,NA,NA,9,38.5555555555556,2.11111111111111,10.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",670512.153,5.17514855543565
"1989","2270",1,1,"March 31, 1989","TORONTO",17851,NA,NA,17851,1,0,7.05405405405405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",3983955.18,44.8072309889791
"1989","1700",1,1,"September 30, 1989","SASKATOON",435,NA,NA,435,1,0,4.47404844290657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",215816.647,20.1559984388044
"1989","2270",4,1,"June 30, 1989","TORONTO",1330,NA,NA,180,7.38888888888889,0.35,6.56896551724138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",3983955.18,3.33839097055304
"1989","0140",1,1,"March 31, 1989","CALGARY",4497,NA,NA,4497,1,0,4.46063257065949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",747414.603,60.1674088511219
"1989","0340",4,3,"June 30, 1989","EDMONTON",101,NA,NA,26,3.88461538461538,0,5.61538461538461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",839681.228,1.20283741772538
"1989","2410",2,3,"March 31, 1989","VANCOUVER",389,NA,NA,195,1.99487179487179,0,6.22340425531915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",1602542.22,2.42739314537373
"1989","2410",5,2,"September 30, 1989","VANCOUVER",1552,NA,NA,52,29.8461538461538,2.40384615384615,7.6734693877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",1602542.22,9.68461224066846
"1989","1060",4,4,"March 31, 1989",NA,40,NA,NA,5,8,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",3384308.91,0.118192520433958
"1989","1060",2,2,"September 30, 1989",NA,10,NA,NA,5,2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",3384308.91,0.0295481301084894
"1989","0340",2,4,"September 30, 1989","EDMONTON",4,NA,NA,2,2,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",839681.228,0.0476371254544707
"1989","1400",4,2,"December 31, 1989",NA,53,NA,NA,11,4.81818181818182,0,4.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",657101.771,0.806572167951135
"1989","2680",1,1,"March 31, 1989","WINNIPEG",2345,NA,NA,2345,1,0,5.92311583206879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",670512.153,34.9732661743418
"1989","1490",5,3,"December 31, 1989","REGINA",147,NA,NA,4,36.75,1.75,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",195307.253,7.52660219945851
"1989","1400",1,1,"September 30, 1989",NA,2718,NA,NA,2718,1,0,4.79009433962264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",657101.771,41.3634557073808
"1989","1490",5,2,"September 30, 1989","REGINA",50,NA,NA,3,16.6666666666667,0.666666666666667,7.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",195307.253,2.56006877532602
