,MWISNLRVA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,37.35
1988-04-01,36.15
1988-07-01,36.03
1988-10-01,36.01
1989-01-01,33.37
1989-04-01,29.77
1989-07-01,33.41
1989-10-01,32.38
1990-01-01,29.25
1990-04-01,26.37
1990-07-01,24.69
1990-10-01,27.71
1991-01-01,30.41
1991-04-01,31.9
1991-07-01,29.7
1991-10-01,27.73
1992-01-01,36.61
1992-04-01,36.27
1992-07-01,41.57
1992-10-01,39.96
1993-01-01,35.04
1993-04-01,41.6
1993-07-01,43.2
1993-10-01,41.84
1994-01-01,41.95
1994-04-01,41.03
1994-07-01,35.7
1994-10-01,35.35
1995-01-01,31.18
1995-04-01,33.39
1995-07-01,38.48
1995-10-01,36.12
1996-01-01,47.61
1996-04-01,46.69
1996-07-01,46.0
1996-10-01,54.85
1997-01-01,59.09
1997-04-01,45.81
1997-07-01,47.19
1997-10-01,51.74
1998-01-01,50.72
1998-04-01,52.45
1998-07-01,51.85
1998-10-01,56.27
1999-01-01,56.47
1999-04-01,65.8
1999-07-01,64.99
1999-10-01,67.81
2000-01-01,60.1
2000-04-01,69.33
2000-07-01,61.65
2000-10-01,66.97
2001-01-01,64.56
2001-04-01,68.6
2001-07-01,71.93
2001-10-01,79.69
2002-01-01,78.25
2002-04-01,76.37
2002-07-01,76.57
2002-10-01,78.92
2003-01-01,81.04
2003-04-01,85.01
2003-07-01,89.89
2003-10-01,84.42
2004-01-01,87.36
2004-04-01,82.35
2004-07-01,80.07
2004-10-01,78.58
2005-01-01,87.87
2005-04-01,79.49
2005-07-01,77.66
2005-10-01,81.9
2006-01-01,79.89
2006-04-01,75.1
2006-07-01,76.71
2006-10-01,82.22
2007-01-01,82.42
2007-04-01,84.83
2007-07-01,84.21
2007-10-01,88.84
2008-01-01,83.56
2008-04-01,78.5
2008-07-01,74.25
2008-10-01,60.92
2009-01-01,68.1
2009-04-01,74.06
2009-07-01,79.9
2009-10-01,75.8
2010-01-01,72.23
2010-04-01,71.93
2010-07-01,72.69
2010-10-01,72.96
2011-01-01,74.4
2011-04-01,74.39
2011-07-01,74.26
2011-10-01,77.14
2012-01-01,73.63
2012-04-01,75.14
2012-07-01,71.05
2012-10-01,70.35
2013-01-01,70.34
2013-04-01,67.54
2013-07-01,64.5
2013-10-01,64.18
2014-01-01,63.35
2014-04-01,60.52
2014-07-01,57.25
2014-10-01,55.33
2015-01-01,53.35
2015-04-01,54.52
2015-07-01,56.31
2015-10-01,57.22
2016-01-01,57.43
2016-04-01,59.45
2016-07-01,62.17
2016-10-01,62.56
2017-01-01,59.89
2017-04-01,62.2
2017-07-01,62.3
2017-10-01,60.29
2018-01-01,57.43
2018-04-01,56.1
2018-07-01,56.12
2018-10-01,56.21
2019-01-01,55.78
2019-04-01,54.31
2019-07-01,57.42
2019-10-01,57.65
2020-01-01,58.87
2020-04-01,59.36
2020-07-01,78.78
2020-10-01,79.96
2021-01-01,86.62
2021-04-01,81.57
2021-07-01,76.82
2021-10-01,86.89
2022-01-01,86.31
2022-04-01,68.39
2022-07-01,63.8
2022-10-01,61.02
2023-01-01,60.34
2023-04-01,64.31
2023-07-01,65.48
2023-10-01,60.41
2024-01-01,66.73
2024-04-01,68.04
2024-07-01,69.47
2024-10-01,74.02
