"","reference_period_qq","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","ref_yy","ref_qq","population","comp_per_10kpop"
"1","1988-2","0140","June 30, 1988","CALGARY",355,NA,NA,149,2.38255033557047,0,5.83333333333333,1.43624161073825,1988,2,"714926.887",4.96554272129368
"2","1988-2","0610","June 30, 1988",NA,182,NA,NA,181,1.00552486187845,0,5.55862068965517,1.20441988950276,1988,2,"599723.112",3.03473380228841
"3","1988-2","1265","June 30, 1988",NA,812,NA,NA,404,2.00990099009901,0.0643564356435644,5.7707182320442,1.1980198019802,1988,2,"687116.1271702311",11.8175075200764
"4","1988-3","0140","September 30, 1988","CALGARY",966,NA,NA,928,1.04094827586207,0,5.57060518731988,0.830818965517241,1988,3,"719616.5580000001",13.4238156315464
"5","1988-3","0610","September 30, 1988",NA,1923,NA,NA,1234,1.55834683954619,0.0218800648298217,5.89542483660131,0.881685575364668,1988,3,"604688.9670000001",31.8014732357437
"6","1988-3","1265","September 30, 1988","OTTAWA",2441,NA,NA,1394,1.75107604017217,0,4.75,0.65351506456241,1988,3,"690767.356122307",35.3375123819227
"7","1988-4","0140","December 31, 1988","CALGARY",1159,NA,NA,1045,1.10909090909091,0.0401913875598086,5.91554467564259,0.611483253588517,1988,4,"724449.865",15.998346552249
"8","1988-4","0610","December 31, 1988",NA,1307,NA,NA,1148,1.13850174216028,0,4.73894436519258,0.31794425087108,1988,4,"607581.042",21.5115336004839
"9","1988-4","1265","December 31, 1988",NA,2116,NA,NA,1333,1.5873968492123,0.0225056264066016,4.88770999115827,0.172543135783946,1988,4,"694702.2267506439",30.4590933859136
"10","1989-1","0140","March 31, 1989","CALGARY",689,NA,NA,685,1.00583941605839,0.00291970802919708,4.73476702508961,0.573722627737226,1989,1,"729550.383",9.44417295988178
