,AEDSNLRVA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,47.74
1988-04-01,67.28
1988-07-01,63.11
1988-10-01,56.98
1989-01-01,63.46
1989-04-01,70.67
1989-07-01,70.1
1989-10-01,76.8
1990-01-01,78.89
1990-04-01,32.98
1990-07-01,47.09
1990-10-01,48.44
1991-01-01,53.14
1991-04-01,60.17
1991-07-01,53.71
1991-10-01,54.94
1992-01-01,58.33
1992-04-01,59.26
1992-07-01,57.07
1992-10-01,55.17
1993-01-01,46.43
1993-04-01,55.4
1993-07-01,51.41
1993-10-01,45.01
1994-01-01,44.9
1994-04-01,50.83
1994-07-01,44.14
1994-10-01,45.15
1995-01-01,39.85
1995-04-01,41.26
1995-07-01,44.18
1995-10-01,38.89
1996-01-01,43.92
1996-04-01,50.81
1996-07-01,48.5
1996-10-01,57.21
1997-01-01,53.85
1997-04-01,52.74
1997-07-01,60.48
1997-10-01,65.42
1998-01-01,66.99
1998-04-01,66.93
1998-07-01,69.98
1998-10-01,68.26
1999-01-01,62.88
1999-04-01,71.29
1999-07-01,71.96
1999-10-01,69.72
2000-01-01,67.16
2000-04-01,70.49
2000-07-01,69.21
2000-10-01,69.72
2001-01-01,66.84
2001-04-01,83.88
2001-07-01,91.43
2001-10-01,85.18
2002-01-01,92.32
2002-04-01,84.43
2002-07-01,74.34
2002-10-01,66.36
2003-01-01,71.15
2003-04-01,66.33
2003-07-01,62.63
2003-10-01,64.42
2004-01-01,60.89
2004-04-01,69.38
2004-07-01,70.07
2004-10-01,69.0
2005-01-01,61.84
2005-04-01,69.38
2005-07-01,77.73
2005-10-01,74.04
2006-01-01,94.37
2006-04-01,94.07
2006-07-01,80.56
2006-10-01,76.62
2007-01-01,89.35
2007-04-01,49.27
2007-07-01,29.41
2007-10-01,44.26
2008-01-01,42.36
2008-04-01,38.61
2008-07-01,51.36
2008-10-01,39.13
2009-01-01,46.27
2009-04-01,69.93
2009-07-01,67.22
2009-10-01,61.27
2010-01-01,52.13
2010-04-01,44.33
2010-07-01,44.99
2010-10-01,50.3
2011-01-01,51.03
2011-04-01,50.47
2011-07-01,50.49
2011-10-01,55.13
2012-01-01,54.08
2012-04-01,58.48
2012-07-01,56.12
2012-10-01,56.26
2013-01-01,64.2
2013-04-01,60.8
2013-07-01,65.93
2013-10-01,63.95
2014-01-01,69.54
2014-04-01,64.65
2014-07-01,69.39
2014-10-01,64.8
2015-01-01,50.49
2015-04-01,57.33
2015-07-01,53.89
2015-10-01,51.69
2016-01-01,44.77
2016-04-01,56.73
2016-07-01,51.42
2016-10-01,51.72
2017-01-01,53.22
2017-04-01,47.39
2017-07-01,45.71
2017-10-01,51.53
2018-01-01,47.02
2018-04-01,40.68
2018-07-01,45.7
2018-10-01,44.53
2019-01-01,44.16
2019-04-01,51.27
2019-07-01,50.59
2019-10-01,47.38
2020-01-01,45.59
2020-04-01,50.91
2020-07-01,58.46
2020-10-01,60.14
2021-01-01,65.61
2021-04-01,61.97
2021-07-01,61.38
2021-10-01,72.93
2022-01-01,80.96
2022-04-01,56.33
2022-07-01,52.75
2022-10-01,54.56
2023-01-01,55.38
2023-04-01,66.11
2023-07-01,66.4
2023-10-01,63.53
2024-01-01,75.45
2024-04-01,73.72
2024-07-01,72.47
2024-10-01,77.08
