,ACASNLRVA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,46.01
1988-04-01,76.64
1988-07-01,65.26
1988-10-01,55.91
1989-01-01,68.77
1989-04-01,61.27
1989-07-01,70.72
1989-10-01,79.31
1990-01-01,57.92
1990-04-01,35.53
1990-07-01,47.79
1990-10-01,39.0
1991-01-01,50.41
1991-04-01,54.28
1991-07-01,45.41
1991-10-01,40.6
1992-01-01,51.13
1992-04-01,52.41
1992-07-01,50.8
1992-10-01,51.18
1993-01-01,39.42
1993-04-01,55.99
1993-07-01,54.16
1993-10-01,49.49
1994-01-01,49.85
1994-04-01,55.35
1994-07-01,49.09
1994-10-01,48.71
1995-01-01,42.28
1995-04-01,48.36
1995-07-01,52.56
1995-10-01,48.1
1996-01-01,55.64
1996-04-01,60.83
1996-07-01,63.67
1996-10-01,74.47
1997-01-01,76.91
1997-04-01,74.04
1997-07-01,89.47
1997-10-01,85.9
1998-01-01,76.53
1998-04-01,75.98
1998-07-01,61.53
1998-10-01,63.91
1999-01-01,64.85
1999-04-01,66.89
1999-07-01,69.67
1999-10-01,67.41
2000-01-01,62.83
2000-04-01,61.81
2000-07-01,62.45
2000-10-01,58.54
2001-01-01,60.26
2001-04-01,68.75
2001-07-01,73.84
2001-10-01,73.08
2002-01-01,83.9
2002-04-01,72.56
2002-07-01,72.65
2002-10-01,63.7
2003-01-01,63.56
2003-04-01,61.44
2003-07-01,63.38
2003-10-01,59.85
2004-01-01,58.59
2004-04-01,63.88
2004-07-01,68.46
2004-10-01,66.89
2005-01-01,64.88
2005-04-01,76.04
2005-07-01,89.43
2005-10-01,88.91
2006-01-01,92.81
2006-04-01,83.17
2006-07-01,57.59
2006-10-01,68.0
2007-01-01,81.62
2007-04-01,57.68
2007-07-01,49.76
2007-10-01,50.85
2008-01-01,40.48
2008-04-01,39.02
2008-07-01,48.6
2008-10-01,34.34
2009-01-01,38.73
2009-04-01,67.17
2009-07-01,68.51
2009-10-01,60.54
2010-01-01,47.27
2010-04-01,39.71
2010-07-01,43.46
2010-10-01,47.82
2011-01-01,49.62
2011-04-01,49.58
2011-07-01,47.78
2011-10-01,53.91
2012-01-01,56.36
2012-04-01,62.15
2012-07-01,63.72
2012-10-01,65.0
2013-01-01,65.4
2013-04-01,65.02
2013-07-01,71.73
2013-10-01,71.37
2014-01-01,75.51
2014-04-01,63.66
2014-07-01,68.26
2014-10-01,67.88
2015-01-01,48.34
2015-04-01,66.74
2015-07-01,56.06
2015-10-01,49.51
2016-01-01,44.96
2016-04-01,58.18
2016-07-01,55.98
2016-10-01,57.32
2017-01-01,56.75
2017-04-01,53.58
2017-07-01,50.04
2017-10-01,54.22
2018-01-01,49.37
2018-04-01,40.94
2018-07-01,46.18
2018-10-01,47.26
2019-01-01,45.98
2019-04-01,57.53
2019-07-01,54.22
2019-10-01,49.55
2020-01-01,48.78
2020-04-01,61.65
2020-07-01,60.01
2020-10-01,65.12
2021-01-01,69.18
2021-04-01,73.05
2021-07-01,75.23
2021-10-01,87.31
2022-01-01,84.33
2022-04-01,75.35
2022-07-01,71.71
2022-10-01,71.58
