,BVISNLRVA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,66.82
1988-04-01,93.34
1988-07-01,67.0
1988-10-01,69.88
1989-01-01,77.61
1989-04-01,70.31
1989-07-01,84.1
1989-10-01,87.34
1990-01-01,62.45
1990-04-01,48.07
1990-07-01,55.93
1990-10-01,49.69
1991-01-01,77.33
1991-04-01,85.7
1991-07-01,73.76
1991-10-01,74.96
1992-01-01,71.71
1992-04-01,65.79
1992-07-01,75.65
1992-10-01,70.42
1993-01-01,62.13
1993-04-01,67.54
1993-07-01,56.89
1993-10-01,59.16
1994-01-01,69.01
1994-04-01,56.86
1994-07-01,42.27
1994-10-01,43.79
1995-01-01,34.12
1995-04-01,42.69
1995-07-01,65.38
1995-10-01,56.15
1996-01-01,58.07
1996-04-01,55.84
1996-07-01,59.91
1996-10-01,67.58
1997-01-01,64.53
1997-04-01,58.45
1997-07-01,54.39
1997-10-01,52.95
1998-01-01,52.66
1998-04-01,50.98
1998-07-01,53.54
1998-10-01,54.24
1999-01-01,57.33
1999-04-01,60.89
1999-07-01,55.72
1999-10-01,55.8
2000-01-01,51.11
2000-04-01,49.91
2000-07-01,57.24
2000-10-01,61.66
2001-01-01,59.54
2001-04-01,78.3
2001-07-01,79.65
2001-10-01,78.31
2002-01-01,85.84
2002-04-01,73.51
2002-07-01,77.51
2002-10-01,77.95
2003-01-01,80.69
2003-04-01,80.66
2003-07-01,86.37
2003-10-01,86.71
2004-01-01,87.76
2004-04-01,70.66
2004-07-01,70.61
2004-10-01,70.93
2005-01-01,93.97
2005-04-01,82.14
2005-07-01,74.36
2005-10-01,61.02
2006-01-01,65.65
2006-04-01,58.9
2006-07-01,56.36
2006-10-01,63.74
2007-01-01,65.4
2007-04-01,65.69
2007-07-01,70.31
2007-10-01,60.86
2008-01-01,54.39
2008-04-01,47.53
2008-07-01,43.31
2008-10-01,31.06
2009-01-01,46.68
2009-04-01,70.39
2009-07-01,77.63
2009-10-01,65.41
2010-01-01,51.23
2010-04-01,43.37
2010-07-01,42.57
2010-10-01,48.41
2011-01-01,45.35
2011-04-01,41.2
2011-07-01,41.41
2011-10-01,43.95
2012-01-01,47.93
2012-04-01,42.2
2012-07-01,41.3
2012-10-01,39.62
2013-01-01,44.27
2013-04-01,51.19
2013-07-01,52.59
2013-10-01,51.42
2014-01-01,47.67
2014-04-01,52.07
2014-07-01,60.01
2014-10-01,61.01
2015-01-01,54.78
2015-04-01,66.43
2015-07-01,73.83
2015-10-01,72.55
2016-01-01,83.26
2016-04-01,91.56
2016-07-01,83.17
2016-10-01,76.28
2017-01-01,85.28
2017-04-01,77.35
2017-07-01,69.94
2017-10-01,67.78
2018-01-01,71.81
2018-04-01,58.45
2018-07-01,58.26
2018-10-01,57.87
2019-01-01,52.47
2019-04-01,59.36
2019-07-01,62.46
2019-10-01,66.92
2020-01-01,59.2
2020-04-01,53.06
2020-07-01,74.33
2020-10-01,82.8
2021-01-01,87.04
2021-04-01,81.17
2021-07-01,88.05
2021-10-01,81.03
2022-01-01,76.8
2022-04-01,54.41
2022-07-01,45.81
2022-10-01,51.73
2023-01-01,52.65
2023-04-01,65.33
2023-07-01,51.21
2023-10-01,45.6
2024-01-01,45.55
2024-04-01,45.48
2024-07-01,50.77
