,KRESNLRVA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,48.53
1988-04-01,49.53
1988-07-01,50.65
1988-10-01,48.28
1989-01-01,41.65
1989-04-01,40.54
1989-07-01,49.33
1989-10-01,44.45
1990-01-01,47.62
1990-04-01,41.54
1990-07-01,43.73
1990-10-01,52.87
1991-01-01,45.11
1991-04-01,49.19
1991-07-01,50.45
1991-10-01,58.96
1992-01-01,58.47
1992-04-01,66.67
1992-07-01,57.25
1992-10-01,61.0
1993-01-01,56.83
1993-04-01,67.18
1993-07-01,66.02
1993-10-01,62.7
1994-01-01,70.23
1994-04-01,66.94
1994-07-01,59.54
1994-10-01,62.42
1995-01-01,60.77
1995-04-01,65.91
1995-07-01,70.07
1995-10-01,61.37
1996-01-01,70.27
1996-04-01,66.35
1996-07-01,72.74
1996-10-01,76.52
1997-01-01,62.17
1997-04-01,64.04
1997-07-01,66.92
1997-10-01,80.97
1998-01-01,73.43
1998-04-01,78.01
1998-07-01,72.04
1998-10-01,77.27
1999-01-01,75.57
1999-04-01,72.75
1999-07-01,72.65
1999-10-01,78.97
2000-01-01,68.2
2000-04-01,64.35
2000-07-01,60.38
2000-10-01,60.15
2001-01-01,58.21
2001-04-01,58.96
2001-07-01,62.79
2001-10-01,68.19
2002-01-01,68.94
2002-04-01,62.22
2002-07-01,68.19
2002-10-01,68.24
2003-01-01,66.77
2003-04-01,79.2
2003-07-01,81.91
2003-10-01,72.62
2004-01-01,78.81
2004-04-01,73.8
2004-07-01,72.76
2004-10-01,64.53
2005-01-01,73.6
2005-04-01,70.82
2005-07-01,69.06
2005-10-01,63.34
2006-01-01,62.09
2006-04-01,72.33
2006-07-01,81.26
2006-10-01,76.25
2007-01-01,87.63
2007-04-01,93.8
2007-07-01,74.8
2007-10-01,83.29
2008-01-01,80.11
2008-04-01,45.64
2008-07-01,41.68
2008-10-01,46.24
2009-01-01,44.63
2009-04-01,59.68
2009-07-01,76.12
2009-10-01,67.99
2010-01-01,60.86
2010-04-01,56.16
2010-07-01,62.33
2010-10-01,63.48
2011-01-01,61.23
2011-04-01,62.27
2011-07-01,65.27
2011-10-01,72.31
2012-01-01,70.79
2012-04-01,72.36
2012-07-01,56.98
2012-10-01,57.35
2013-01-01,56.25
2013-04-01,51.02
2013-07-01,52.61
2013-10-01,53.71
2014-01-01,47.92
2014-04-01,48.51
2014-07-01,49.14
2014-10-01,44.06
2015-01-01,42.9
2015-04-01,45.6
2015-07-01,46.83
2015-10-01,47.16
2016-01-01,47.33
2016-04-01,51.62
2016-07-01,50.47
2016-10-01,48.18
2017-01-01,44.41
2017-04-01,41.78
2017-07-01,46.36
2017-10-01,43.73
2018-01-01,39.34
2018-04-01,41.97
2018-07-01,42.85
2018-10-01,45.53
2019-01-01,47.89
2019-04-01,44.26
2019-07-01,49.56
2019-10-01,50.2
2020-01-01,47.09
2020-04-01,56.28
2020-07-01,68.7
2020-10-01,66.18
2021-01-01,65.31
2021-04-01,64.2
2021-07-01,60.63
2021-10-01,69.65
2022-01-01,68.86
2022-04-01,62.1
2022-07-01,65.38
2022-10-01,61.95
2023-01-01,64.65
2023-04-01,67.52
2023-07-01,68.64
2023-10-01,68.06
2024-01-01,75.37
2024-04-01,78.1
2024-07-01,71.39
2024-10-01,80.39
