"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","X_c0","ref_qq","met_name","population","stcan_cmacode","comp_per_10kpop"
"1988","1209001","June 30, 1988","0580",NA,NA,95,NA,NA,88,1.07954545454545,0,6.46808510638298,0.125,361,4,"Halifax",326937.956,205,2.90575010507498
"1988","1209008","June 30, 1988","0580","HALIFAX","EAST HANTS MD",130,NA,NA,96,1.35416666666667,0,5.09756097560976,0.208333333333333,361,4,"Halifax",326937.956,205,3.97628961747103
"1988","1209012","June 30, 1988","0580",NA,NA,240,NA,NA,208,1.15384615384615,0,4.23232323232323,0.605769230769231,361,4,"Halifax",326937.956,205,7.34084237071574
"1988","1209018","June 30, 1988","0580",NA,NA,167,NA,NA,133,1.25563909774436,0,4.66666666666667,0.255639097744361,361,4,"Halifax",326937.956,205,5.10800281628971
"1988","1209021","June 30, 1988","0580",NA,NA,366,NA,NA,106,3.45283018867925,0,8.08219178082192,0.556603773584906,361,4,"Halifax",326937.956,205,11.1947846153415
"1988","1209022","June 30, 1988","0580",NA,NA,313,NA,NA,97,3.22680412371134,0,5.3,0.608247422680412,361,4,"Halifax",326937.956,205,9.57368192514178
"1988","1209024","June 30, 1988","0580",NA,NA,206,NA,NA,141,1.46099290780142,0,4.42592592592593,0.631205673758865,361,4,"Halifax",326937.956,205,6.30088970153101
"1988","1209026","June 30, 1988","0580",NA,NA,119,NA,NA,116,1.02586206896552,0,5.64473684210526,0.344827586206897,361,4,"Halifax",326937.956,205,3.63983434214656
"1988","2415780","June 30, 1988","1400",NA,NA,18,NA,NA,17,1.05882352941176,0,5.5,1.9375,1579,4,"Quebec",646773.443,421,0.278304562359713
"1988","2416200","September 30, 1988","1400",NA,NA,1,NA,NA,1,1,0,NA,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2416300","June 30, 1988","1400",NA,NA,7,NA,NA,7,1,0,6.75,3.28571428571429,1579,4,"Quebec",646773.443,421,0.108229552028777
"1988","2416400","September 30, 1988","1400",NA,NA,1,NA,NA,1,1,0,30,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2416500","June 30, 1988","1400",NA,NA,11,NA,NA,10,1.1,0,4.83333333333333,1.4,1579,4,"Quebec",646773.443,421,0.170075010330936
"1988","2416600","December 31, 1988","1400",NA,NA,7,NA,NA,7,1,0,7,1.28571428571429,1579,4,"Quebec",646773.443,421,0.108229552028777
